,OP_CARRIER,ORIGIN,DEST,DEP_DELAY,ARR_DELAY,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE
6079,MQ,DFW,MYR,0.1,-2.35,159.05,131.9,1048.0
6080,MQ,DFW,OKC,5.137299771167048,3.7070938215102975,60.29519450800915,35.76201372997712,175.0
6081,MQ,DFW,OMA,-1.5714285714285714,-7.428571428571429,104.07142857142857,83.03571428571429,583.0
6082,MQ,DFW,ORF,6.357142857142857,7.428571428571429,170.5,142.85714285714286,1212.0
6083,MQ,DFW,PIT,-5.0,5.0,174.0,133.0,1067.0
6084,MQ,DFW,PNS,4.2924791086350975,3.4727272727272727,107.3062937062937,81.75104895104896,604.0
6085,MQ,DFW,RDU,1.9090909090909092,3.8181818181818183,169.84848484848484,139.15151515151516,1061.0
6086,MQ,DFW,RIC,-4.0,-9.5,166.0,142.0,1158.0
6087,MQ,DFW,ROW,5.218631178707224,5.095969289827256,91.47600767754318,69.96353166986565,435.0
6088,MQ,DFW,SAV,-0.6333333333333333,0.7,145.3,114.6,925.0
6089,MQ,DFW,SDF,14.894736842105264,21.27027027027027,136.3783783783784,107.08108108108108,733.0
6090,MQ,DFW,SGF,5.639738882088944,4.044953003677973,81.08295872496934,56.15365753984471,364.0
6091,MQ,DFW,SHV,5.59652706843718,6.267967145790554,61.67864476386037,33.90965092402464,190.0
6092,MQ,DFW,SJT,2.9238434163701066,1.8439513242662848,62.83178239083751,41.653543307086615,229.0
6093,MQ,DFW,SPI,7.362406015037594,5.832831325301205,112.83885542168674,87.52560240963855,630.0
6094,MQ,DFW,SPS,2.4253658536585365,1.662733529990167,53.91740412979351,27.585054080629302,113.0
6095,MQ,DFW,STL,4.7293233082706765,0.8106060606060606,98.52272727272727,77.31060606060606,550.0
6096,MQ,DFW,SUX,6.231770833333333,6.471354166666667,121.14322916666667,95.57552083333333,657.0
6097,MQ,DFW,SWO,5.576184379001281,2.754182754182754,63.792792792792795,41.07335907335907,225.0
6098,MQ,DFW,TLH,6.277165354330709,5.563091482649842,126.1403785488959,98.83123028391167,767.0
6099,MQ,DFW,TUL,0.7959183673469388,-2.925170068027211,65.1360544217687,41.48979591836735,237.0
6100,MQ,DFW,TXK,2.38255033557047,2.113559322033898,59.7635593220339,33.672881355932205,181.0
6101,MQ,DFW,TYR,7.087706685837527,6.813818181818182,48.87709090909091,23.206545454545456,102.0
6102,MQ,DFW,TYS,2.107142857142857,4.821428571428571,133.71428571428572,103.75,771.0
6103,MQ,DFW,VPS,-0.32653061224489793,-7.581632653061225,112.45918367346938,84.89795918367346,641.0
6104,MQ,DFW,XNA,3.854238456237078,2.121630960608155,70.1945404284727,46.741879751209396,280.0
6105,MQ,DRT,DFW,6.725663716814159,-9.805309734513274,80.00884955752213,54.150442477876105,335.0
6106,MQ,DSM,DFW,-2.5,-10.0,115.5,96.0,624.0
6107,MQ,DSM,ORD,6.0786092214663645,5.167424242424242,83.22651515151514,53.89242424242424,299.0
6108,MQ,DTW,LGA,17.512664640324214,17.253061224489795,112.39285714285714,78.59795918367347,502.0
6109,MQ,DTW,ORD,0.2692307692307692,5.3076923076923075,90.3076923076923,50.84615384615385,235.0
6110,MQ,ELP,DFW,11.4,6.8,100.13333333333334,74.93333333333334,551.0
6111,MQ,ELP,ORD,11.022641509433962,5.260377358490566,182.73207547169812,154.01509433962264,1236.0
6112,MQ,EVV,ORD,2.719672131147541,-2.3316912972085384,90.35303776683087,58.69786535303777,272.0
6113,MQ,EWN,CLT,19.71014492753623,3.028985507246377,78.53623188405797,49.88405797101449,221.0
6114,MQ,EWR,ORD,13.571865443425077,7.232198142414861,154.34055727554178,117.30959752321981,719.0
6115,MQ,EYW,DFW,57.26315789473684,56.888888888888886,190.27777777777777,164.11111111111111,1089.0
6116,MQ,FAR,DFW,5.189349112426036,0.19076005961251863,159.67660208643815,134.38152011922503,968.0
6117,MQ,FAR,ORD,10.417736289381564,11.392479435957696,117.2726204465335,84.32667450058754,557.0
6118,MQ,FAY,CLT,10.294117647058824,2.429864253393665,70.09954751131222,36.09049773755656,118.0
6119,MQ,FLO,CLT,10.941176470588236,8.882352941176471,57.94117647058823,29.41176470588235,99.0
6120,MQ,FNT,ORD,8.842829076620825,4.214566929133858,77.23228346456693,46.3503937007874,223.0
6121,MQ,FSD,DFW,8.491620111731844,4.593220338983051,138.29378531073445,108.12429378531074,737.0
6122,MQ,FSD,ORD,13.538243626062323,9.048433048433049,100.88888888888889,68.80911680911682,462.2148541114058
6123,MQ,FSM,DFW,5.414715719063545,3.553691275167785,70.95469798657719,43.93456375838926,227.0
6124,MQ,FWA,ORD,7.0984251968503935,-0.4031620553359684,59.51778656126482,36.25296442687747,157.0
6125,MQ,GCK,DFW,6.434229137199434,2.1522048364153625,85.62162162162163,63.773826458036986,404.0
6126,MQ,GGG,DFW,5.024547803617571,4.69559585492228,62.06217616580311,34.740932642487046,140.0
6127,MQ,GJT,DFW,2.254980079681275,-3.221442885771543,123.88577154308618,100.41382765531063,773.0
6128,MQ,GNV,MIA,6.832258064516129,4.36084142394822,69.17313915857605,52.50485436893204,294.0
6129,MQ,GPT,DFW,4.583333333333333,2.0,105.96666666666667,81.85,500.0
6130,MQ,GRB,ORD,5.579059829059829,2.1538461538461537,66.40384615384616,41.56623931623932,173.4356846473029
6131,MQ,GRI,DFW,15.555776892430279,9.44758064516129,109.89717741935483,85.72379032258064,561.0
6132,MQ,GRK,DFW,8.995006242197254,6.835625,57.913125,32.281875,134.0
6133,MQ,GRR,DFW,7.465478841870824,1.8382022471910113,165.6067415730337,137.0808988764045,931.0
6134,MQ,GRR,ORD,8.769921436588103,3.985955056179775,63.114606741573034,33.47134831460674,137.0
6135,MQ,GSO,CLT,7.735756385068762,3.794088669950739,63.97635467980295,28.019704433497537,83.0
6136,MQ,GSO,DFW,2.591644204851752,-2.8683853459972863,181.06919945725915,152.6417910447761,999.0
6137,MQ,GSO,LGA,17.396292004634994,15.236046511627906,104.73372093023256,71.35813953488372,461.0
6138,MQ,GSO,MIA,1.3443223443223444,-0.7106227106227107,128.76190476190476,107.94871794871794,710.0
6139,MQ,GSO,ORD,8.352074966532799,-0.24258760107816713,126.9245283018868,97.44204851752022,589.0
